2023-08-31T13:11:20.383Z warp-stats: Time since handshake: 117.23s, tx: 26.26MiB, rx: 81.87MiB, loss: 0.0%, latency: 15ms
2023-08-31T13:13:20.421Z warp-stats: Time since handshake: 116.97s, tx: 26.55MiB, rx: 82.07MiB, loss: 0.2%, latency: 13ms
2023-08-31T13:15:20.423Z warp-stats: Time since handshake: 116.77s, tx: 26.66MiB, rx: 82.53MiB, loss: 0.0%, latency: 15ms
2023-08-31T13:17:20.425Z warp-stats: Time since handshake: 116.73s, tx: 26.88MiB, rx: 82.80MiB, loss: 0.1%, latency: 22ms
2023-08-31T13:19:20.425Z warp-stats: Time since handshake: 116.70s, tx: 27.21MiB, rx: 83.64MiB, loss: 3.8%, latency: 18ms
2023-08-31T13:21:20.427Z warp-stats: Time since handshake: 116.70s, tx: 27.34MiB, rx: 83.87MiB, loss: 0.0%, latency: 12ms
2023-08-31T13:23:20.428Z warp-stats: Time since handshake: 116.68s, tx: 27.65MiB, rx: 84.03MiB, loss: 0.0%, latency: 11ms
2023-08-31T13:25:20.430Z warp-stats: Time since handshake: 116.68s, tx: 27.98MiB, rx: 85.93MiB, loss: 0.0%, latency: 14ms
2023-08-31T13:27:20.431Z warp-stats: Time since handshake: 116.67s, tx: 28.15MiB, rx: 86.05MiB, loss: 0.0%, latency: 12ms
2023-08-31T13:29:20.434Z warp-stats: Time since handshake: 116.67s, tx: 28.22MiB, rx: 86.10MiB, loss: 0.0%, latency: 14ms
2023-08-31T13:31:20.435Z warp-stats: Time since handshake: 116.65s, tx: 28.27MiB, rx: 86.13MiB, loss: 0.0%, latency: 15ms
2023-08-31T13:33:20.437Z warp-stats: Time since handshake: 116.65s, tx: 28.32MiB, rx: 86.18MiB, loss: 0.4%, latency: 20ms
2023-08-31T13:35:20.438Z warp-stats: Time since handshake: 116.64s, tx: 32.05MiB, rx: 87.05MiB, loss: 0.6%, latency: 14ms
2023-08-31T13:37:20.437Z warp-stats: Time since handshake: 116.63s, tx: 32.29MiB, rx: 87.25MiB, loss: 0.0%, latency: 15ms
2023-08-31T13:39:20.440Z warp-stats: Time since handshake: 116.63s, tx: 32.54MiB, rx: 87.44MiB, loss: 0.0%, latency: 13ms
2023-08-31T13:41:20.440Z warp-stats: Time since handshake: 116.62s, tx: 32.86MiB, rx: 87.75MiB, loss: 0.0%, latency: 15ms
