2023-08-13T18:08:23.226Z warp-stats: Time since handshake: 120.15s, tx: 0.62MiB, rx: 0.83MiB, loss: 0.0%, latency: 107ms
2023-08-13T18:10:23.227Z warp-stats: Time since handshake: 119.99s, tx: 0.91MiB, rx: 4.07MiB, loss: 0.0%, latency: 14ms
2023-08-13T18:12:23.227Z warp-stats: Time since handshake: 119.99s, tx: 4.53MiB, rx: 276.89MiB, loss: 0.0%, latency: 14ms
2023-08-13T18:14:23.229Z warp-stats: Time since handshake: 119.69s, tx: 5.78MiB, rx: 368.99MiB, loss: 0.0%, latency: 27ms
2023-08-13T18:30:38.308Z warp-stats: Time since handshake: 0.29s, tx: 91B, rx: 0B, loss: 0.0%, latency: 243ms
2023-08-13T18:46:22.153Z warp-stats: Time since handshake: 0.19s, tx: 0B, rx: 0B, loss: 0.0%, latency: 151ms
2023-08-13T19:02:42.273Z warp-stats: Time since handshake: 0.18s, tx: 290B, rx: 0B, loss: 0.0%, latency: 122ms
2023-08-13T19:19:30.129Z warp-stats: Time since handshake: 0.19s, tx: 2.83KiB, rx: 0B, loss: 0.0%, latency: 143ms
2023-08-13T19:37:19.111Z warp-stats: Time since handshake: 0.15s, tx: 64B, rx: 0B, loss: 0.0%, latency: 96ms
2023-08-13T19:55:10.081Z warp-stats: Time since handshake: 0.17s, tx: 64B, rx: 0B, loss: 0.0%, latency: 117ms
2023-08-13T20:10:29.272Z warp-stats: Time since handshake: 0.21s, tx: 64B, rx: 0B, loss: 0.0%, latency: 160ms
2023-08-13T20:16:44.024Z warp-stats: Time since handshake: 0.16s, tx: 0.79KiB, rx: 0B, loss: 0.0%, latency: 113ms
2023-08-13T20:18:44.040Z warp-stats: Time since handshake: 120.18s, tx: 435.78KiB, rx: 1.04MiB, loss: 0.0%, latency: 113ms
2023-08-13T20:20:44.042Z warp-stats: Time since handshake: 119.92s, tx: 0.57MiB, rx: 1.24MiB, loss: 0.0%, latency: 16ms
2023-08-13T20:28:30.127Z warp-stats: Time since handshake: 0.22s, tx: 64B, rx: 0B, loss: 0.0%, latency: 163ms
2023-08-13T20:30:30.129Z warp-stats: Time since handshake: 120.22s, tx: 0.78MiB, rx: 8.69MiB, loss: 0.0%, latency: 163ms
2023-08-13T20:32:30.130Z warp-stats: Time since handshake: 119.99s, tx: 1.06MiB, rx: 11.95MiB, loss: 0.0%, latency: 38ms
2023-08-13T20:47:38.127Z warp-stats: Time since handshake: 0.16s, tx: 2.95KiB, rx: 0B, loss: 0.0%, latency: 120ms
2023-08-13T20:59:19.453Z warp-stats: Time since handshake: 0.16s, tx: 64B, rx: 0B, loss: 0.0%, latency: 109ms
2023-08-13T21:01:19.442Z warp-stats: Time since handshake: 120.14s, tx: 0.92MiB, rx: 5.60MiB, loss: 3.1%, latency: 109ms
2023-08-13T21:03:19.442Z warp-stats: Time since handshake: 119.98s, tx: 1.90MiB, rx: 11.75MiB, loss: 0.0%, latency: 54ms
2023-08-13T21:05:19.443Z warp-stats: Time since handshake: 119.90s, tx: 2.23MiB, rx: 13.41MiB, loss: 0.0%, latency: 46ms
2023-08-13T21:07:19.444Z warp-stats: Time since handshake: 119.90s, tx: 2.76MiB, rx: 15.49MiB, loss: 0.1%, latency: 45ms
2023-08-13T21:09:19.445Z warp-stats: Time since handshake: 119.90s, tx: 3.17MiB, rx: 20.40MiB, loss: 0.0%, latency: 67ms
2023-08-13T21:11:19.445Z warp-stats: Time since handshake: 119.90s, tx: 4.76MiB, rx: 31.57MiB, loss: 0.2%, latency: 34ms
2023-08-13T21:13:19.446Z warp-stats: Time since handshake: 119.84s, tx: 6.11MiB, rx: 39.13MiB, loss: 0.0%, latency: 70ms
2023-08-13T21:15:19.446Z warp-stats: Time since handshake: 119.82s, tx: 6.67MiB, rx: 47.38MiB, loss: 0.0%, latency: 62ms
2023-08-13T21:17:19.447Z warp-stats: Time since handshake: 119.80s, tx: 7.02MiB, rx: 54.54MiB, loss: 0.4%, latency: 66ms
2023-08-13T21:19:19.447Z warp-stats: Time since handshake: 119.78s, tx: 7.55MiB, rx: 56.89MiB, loss: 0.0%, latency: 65ms
2023-08-13T21:21:19.447Z warp-stats: Time since handshake: 119.77s, tx: 7.84MiB, rx: 57.36MiB, loss: 1.3%, latency: 34ms
2023-08-13T21:23:19.449Z warp-stats: Time since handshake: 119.77s, tx: 7.95MiB, rx: 57.45MiB, loss: 0.0%, latency: 49ms
2023-08-13T21:25:19.448Z warp-stats: Time since handshake: 119.76s, tx: 8.36MiB, rx: 58.26MiB, loss: 0.0%, latency: 58ms
2023-08-13T21:27:19.449Z warp-stats: Time since handshake: 119.74s, tx: 9.31MiB, rx: 61.54MiB, loss: 0.0%, latency: 49ms
2023-08-13T21:44:45.283Z warp-stats: Time since handshake: 0.16s, tx: 273B, rx: 0B, loss: 0.0%, latency: 118ms
2023-08-13T22:01:11.450Z warp-stats: Time since handshake: 0.31s, tx: 104B, rx: 0B, loss: 0.0%, latency: 257ms
2023-08-13T22:17:27.233Z warp-stats: Time since handshake: 0.19s, tx: 155B, rx: 0B, loss: 0.0%, latency: 123ms
2023-08-13T22:33:24.317Z warp-stats: Time since handshake: 0.13s, tx: 64B, rx: 0B, loss: 0.0%, latency: 82ms
2023-08-13T22:50:21.307Z warp-stats: Time since handshake: 0.13s, tx: 64B, rx: 0B, loss: 0.0%, latency: 90ms
