2023-08-31T12:05:21.804Z warp-dns-stats: Queries: 32, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 6.69ms
2023-08-31T12:07:21.805Z warp-dns-stats: Queries: 36, Success: 94.4%, TimedOut: 0.0%, NoRecordsFound: 5.6%, Other Error: 0.0%, Avg Duration: 53.69ms
2023-08-31T12:09:21.805Z warp-dns-stats: Queries: 53, Success: 94.3%, TimedOut: 0.0%, NoRecordsFound: 5.7%, Other Error: 0.0%, Avg Duration: 53.91ms
2023-08-31T12:11:21.806Z warp-dns-stats: Queries: 47, Success: 89.4%, TimedOut: 0.0%, NoRecordsFound: 10.6%, Other Error: 0.0%, Avg Duration: 52.68ms
2023-08-31T12:13:21.808Z warp-dns-stats: Queries: 44, Success: 79.5%, TimedOut: 0.0%, NoRecordsFound: 20.5%, Other Error: 0.0%, Avg Duration: 24.64ms
2023-08-31T12:15:21.802Z warp-dns-stats: Queries: 34, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 20.26ms
2023-08-31T12:17:21.802Z warp-dns-stats: Queries: 41, Success: 97.6%, TimedOut: 0.0%, NoRecordsFound: 2.4%, Other Error: 0.0%, Avg Duration: 33.05ms
2023-08-31T12:19:21.802Z warp-dns-stats: Queries: 29, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 11.21ms
2023-08-31T12:21:21.801Z warp-dns-stats: Queries: 40, Success: 92.5%, TimedOut: 0.0%, NoRecordsFound: 7.5%, Other Error: 0.0%, Avg Duration: 40.12ms
2023-08-31T12:23:21.802Z warp-dns-stats: Queries: 37, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 22.11ms
2023-08-31T12:25:21.802Z warp-dns-stats: Queries: 33, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 5.09ms
2023-08-31T12:27:21.803Z warp-dns-stats: Queries: 33, Success: 97.0%, TimedOut: 0.0%, NoRecordsFound: 3.0%, Other Error: 0.0%, Avg Duration: 36.12ms
2023-08-31T12:29:21.803Z warp-dns-stats: Queries: 39, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 28.18ms
2023-08-31T12:31:21.804Z warp-dns-stats: Queries: 38, Success: 89.5%, TimedOut: 0.0%, NoRecordsFound: 10.5%, Other Error: 0.0%, Avg Duration: 47.00ms
2023-08-31T12:33:21.804Z warp-dns-stats: Queries: 34, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 35.00ms
2023-08-31T12:35:21.805Z warp-dns-stats: Queries: 40, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 27.58ms
2023-08-31T12:37:21.805Z warp-dns-stats: Queries: 35, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 19.31ms
2023-08-31T12:39:21.806Z warp-dns-stats: Queries: 36, Success: 94.4%, TimedOut: 0.0%, NoRecordsFound: 5.6%, Other Error: 0.0%, Avg Duration: 62.17ms
2023-08-31T12:41:21.806Z warp-dns-stats: Queries: 36, Success: 97.2%, TimedOut: 0.0%, NoRecordsFound: 2.8%, Other Error: 0.0%, Avg Duration: 36.22ms
2023-08-31T12:43:21.808Z warp-dns-stats: Queries: 37, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 32.57ms
2023-08-31T12:45:21.795Z warp-dns-stats: Queries: 42, Success: 88.1%, TimedOut: 0.0%, NoRecordsFound: 11.9%, Other Error: 0.0%, Avg Duration: 42.45ms
2023-08-31T12:47:21.794Z warp-dns-stats: Queries: 52, Success: 80.8%, TimedOut: 0.0%, NoRecordsFound: 19.2%, Other Error: 0.0%, Avg Duration: 583.62ms
2023-08-31T12:49:21.795Z warp-dns-stats: Queries: 35, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 27.06ms
2023-08-31T12:51:21.795Z warp-dns-stats: Queries: 39, Success: 94.9%, TimedOut: 0.0%, NoRecordsFound: 5.1%, Other Error: 0.0%, Avg Duration: 36.74ms
